Metric,Description,Advantage,Disadvantage
"Cell type ARI (luecken et al, 2022)","Cell type ARI measures the similarity between two clustering results for cell types, considering whether pairs of elements are assigned to the same or different clusters in both clusterings. 
It ranges between [0,1], where 0 or 1 indicates to random labeling or a perfect match.",ARI is one of the popular metrics used to measure clustering performance.,"1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of clustering algorithm, which can affect the predicted clusters."
"Cell type NMI (luecken et al, 2022)","Cell type NMI measures the similarity between two clustering results for cell types, based on the concept of mutual information that quantifies the amount of shared information between the clusterings. 
It is rescaled to be between [0,1], with 0 or 1 indicating uncorrelated clustering or a perfect match respectively.",NMI is one of the popular metrics used to measure clustering performance.,"1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of clustering algorithm, which can affect the predicted clusters."
"Cell type ASW (luecken et al, 2022)","Cell type ASW quantifies how close each cell is to others within the same cluster compared to cells in the nearest different cluster.
It is scaled to be between [0,1], where 0 represents the worst clustering performance and 1 represents the best.",ASW is one of the popular metrics used to measure clustering performance.,"Impacted by the choice of clustering algorithm, which can affect the predicted clusters."
Overall Classification Accuracy,"Overall Classification Accuracy quantifies the overall accuracy rate of cell type prediction, with equal weight to each cell. 
It ranges from [0,1], with 0 indicating the worst classification performance and 1 indicating the best.","1) Overall Classification Accuracy if straightforward and easy to calculate, it can measure the overall performance for all cells.
2)  It is one of the popular metrics used to measure classification performance.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of classification algorithm, which can affect the predicted labels.
3) Sensetive to cell type distribution, this metric will be impacted greatly by the classification performance on the majority type of cells and can not reflect the performance on minority cell types well."
Average Classification Accuracy,"Average Classification Accuracy is a metric that computes the mean accuracy across all cell types, with equal weight to each cell type, especially useful in imbalanced multiclass scenarios.
Its value is [0,1], where 0 represents the worst classification performance and 1 represents the best.","1) Average Classification Accuracy is useful for evaluating performance in imbalanced data, ensuring that the performance of minority classes is equally important and preventing the model from favoring majority classes.
2) It is one of the popular metrics used to measure classification performance.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of classification algorithm, which can affect the predicted labels.
3) Biased by equal weighting of all cell types, overlooking their differing importance in practical applications."
Specificity,"Specificity calculated true negatives to the total number of actual negatives, which includes both true negatives and false positives. 
Its value is [0,1], where 0 represents the worst classification performance and 1 represents the best.","1) High specificity accurately excludes negatives and minimizes false positives, crucial for applications where mislabeling is critical to avoid.
2) It is one of the popular metrics used to measure classification performance.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of classification algorithm, which can affect the predicted labels.
3) Biased towards emphasizing specificity may lead to misclassifying some true positives as negatives, particularly when positive cases are rare."
Sensitivity,"Sensitivity calculates proportion of true positives to the total number of actual positives, which includes both true positives and false negatives. 
Its value is [0,1], where 0 represents the worst classification performance and 1 represents the best.","1) Sensitivity can effectively identify and capture true positive cases, ensuring that critical minority instances are not overlooked.
2) It is one of the popular metrics used to measure classification performance.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of classification algorithm, which can affect the predicted labels.
3) Biased towards accepting more false positives to avoid missing true cases, which can compromise result accuracy."
F1 score,"F1 score, which is the harmonic mean of recall and precision, measures the balance between the proportion of correctly identified positive cases and the proportion of actual positives among predicted positive samples.
Its value is [0,1], where 0 represents the worst classification performance and 1 represents the best.","1) F1 score can capture the model's performance by balancing precision and recall.
2) It is one of the popular metrics used to measure classification performance.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of classification algorithm, which can affect the predicted labels.
3) Sensitive to outliers, particularly in the calculation of recall."
Marker Overlap among Different Cell Types,"Marker Overlap among Different Cell Types measures the number of  overlap for top markers across various cell types,
A lower overlap indicates greater distinctiveness among the markers of each cell type.",Marker Overlap among Different Cell Types can intuitively evaluate the distinctiveness of markers across the cell types.,Focus primarily on the numerical overlap of markers without considering their biological function and significance.
Marker Correlation among Downsampled Data,"Marker Correlation among Downsampled Data measures the correlation of feature importance scores across different subsets of the original data.
The higher, the more reproducible the feature selection is.",Marker Correlation among Downsampled Data is capable of assessing the stability or reproducibility of feature selection.,"1) Reliant on the quality of data downsampling, where improper techniques can influence results.
2) Demanding in computational effort due to repeated downsampling and feature importance evaluations, impacting time efficiency."
sMSE,"sMSE is calculated by taking the mean squared error (MSE) of the differences between the imputed data and the ground truth data heldout from the model training, and then dividing it by the variance of the ground truth. It is rescaled to the range [0,1] by taking its reciprocal. The higher, the better imputation accuracy.","1) sMSE is straightforward and easy to calculate.
2) It is applicable to various distributions.","1) Vulnerable to outliers, significantly impacting MSE calculations.
2) Sensetive to imbalanced datasets, affecting overall model performance evaluation."
Presrvation of Gene correlation Stucture,"Preservation of Gene correlation structure measures the highly variable genes consistency between the imputed data and original data.
Higher correlation represents better imputation performance.","Presrvation of Gene correlation Stucture measures the consistency of HVGs between imputed and original data, effectively maintaining gene correlation structures crucial for biological significance.","1) Impacted by the choice of HVG algorithm, which can affect the HVG selection.
2) Prioritizes HVGs, possibly neglecting equally crucial genes with less variability."
Presrvation of DE Statistics,"Preservation of DE statistics measures the DE statistics consistency of biological information.
A higher correlation represents better imputation performance.","Presrvation of DE Statistics measures the consistency of DE genes between imputed and original data, effectively maintaining gene correlation structures crucial for biological significance.","1) Impacted by the choice of DE algorithm, which can affect the DE genes selection.
2) Focus on the consistency of differential expression statistics, it may overlook other important biological information and data characteristics."
"Label Transfer ARI (Liu, 2023)","LTARI evaluates label consistency during alignment by iteratively selecting each slice as the reference and treating others as queries. 
It's normalized to [0,1], where 0 represents the worst performance and 1 represents the best.","It is flexible and interpretable, offering an intuitive method to evaluate label consistency during spatial alignment by comparing predicted and actual labels","Dependent on precise spot annotations, with inaccurate spot labels potentially influence results."
"Pairwise Alignment Accuracy (Zeira, 2022)","Pairwise Alignment Accuracy measures how well the method captures the similarity of spots with the same label across slices. 
It's normalized to [0,1], where 0 represents the worst performance and 1 represents the best.",It can evaluates the performance of pairwise alignment effectively by measuring the method's ability to detect similarities in spots with identical labels across slices.,"Dependent on precise spot annotations, with inaccurate spot labels potentially influence results."
"Spatial Coherent Score (Zeira, 2022)","Spatial Coherence Score measures whether the spot labels of neighboring spots on the aligned slices are consistent, and whether the spatial distribution characteristics of spot labels are preserved on the aligned slices.
A higher SCS indicates better alignement performance.",It can evaluate the quality of preserving the spatial structure effectively by considering the relative spatial positions of spots.,"Dependent on precise spot annotations, with inaccurate spot labels potentially influence results."
